Genre;Employee or Third Party;Critical Risk;Month;Cleaned_Description;Potential Accident Level Encoded;Positions;Actions;Tools_and_equipment
Male;Third Party;Pressed;January;remove drill rod jumbo maintenance supervisor proceed loosen support intermediate centralizer facilitate removal see mechanic support end drill equipment pull hand bar accelerate removal this moment bar slide point support tighten finger mechanic drilling bar beam jumbo;4;Maintenance Supervisor, Mechanic;Remove, Proceed, Loosen, Facilitate;Drill rod, Jumbo, Hand bar
Male;Employee;Pressurized Systems;January;activation sodium sulphide pump pipe uncoupled sulfide solution design area reach maid immediately use emergency shower direct ambulatory doctor later hospital note sulphide solution gram liter;4;Maid;Reach, Use;Sodium sulphide pump
Male;Third Party (Remote);Manual Tools;January;substation milpo locate level collaborator excavation work pick hand tool hit rock flat beak bounce hit steel tip safety shoe metatarsal area ​​the left foot collaborator cause injury;3;Collaborator;Excavation work;Hand tool
Male;Third Party;Others;January;be approximately nv cx ob7 personnel begin task unlock soquet bolt bhb machine penultimate bolt identify hexagonal head wear proceed mr auxiliary assistant climb platform exert pressure hand dado key prevent come bolt moment collaborator rotate lever anticlockwise direction leave key bolt hit palm leave hand cause injury;1;Auxiliary assistant, Collaborator;Unlock, Identify hexagonal head, Climb platform, Exert pressure hand;Soquet bolt, BHB machine, Dado key, Hexagonal head, Lever
Male;Third Party;Others;January;approximately be circumstance mechanic group leader the company impromec perform removal pulley motor pump zaf marcy length weight kg lock proceed heating pulley loosen it come falls distance meter high hit instep right foot Employee cause injury describe;4;Mechanic;Perform, Removal, Lock, Proceed, Heating, Loosen;Pulley motor
Male;Third Party (Remote);Pressurized Systems;January;unload operation ustulado need unclog discharge mouth silo truck perform procedure maneuver unhook hose total depressurisation mouth project ustulado powder collaborator cause irritation eye;3;Collaborator;Unload operation, Unclog discharge mouth;Silo truck
Male;Employee;Fall prevention (same level);January;collaborator report street hold left hand volumetric balloon slip place hand ground volumetric balloon end break cause small wound leave hand;3;Collaborator;Hold;Volumetric balloon
Male;Third Party;Pressed;January;approximately pm mechanic technician tecnomin verify transmission belt hm pump acid plant proceed turn pulley manually unexpectedly instant electrician supervisor grab transmission belt verify tension point finger trap;3;Mechanic technician, Electrician supervisor, Mechanic, Technician, Electrician;Turn pulley manually, Grab transmission belt;Transmission belt HM pump
Male;Third Party (Remote);Others;January;employee sit rest area level raise bore suffer sudden illness fall suffering excoriation face;4;Employee;suffer sudden illness;raise bore
Male;Third Party;Chemical substances;January;moment forklift operator go manipulate big bag bioxide section ladder lead area ​​manual displacement splash spend height forehead fissure pipe subsequently spill leave eye collaborator go nearby eyewash clean immediately medical center;2;Forklift operator, Collaborator, Operator;Manipulate, Displacement, Splash, Spill, Leave, Clean;Forklift, Ladder
Male;Employee;Others;January;instal segment polyurethane pulley protective lyner 60x4x5 cm weigh head pulley ore winch pulley rotate compress lyner inside channel fall housing rub right Employee hip generating injury describe;3;Employee;Install, Rotate, Compress, Fall, Rub;Polyurethane pulley, Winch pulley
Male;Third Party;Others;January;prepare rice lunch day move pot weight include content evacuate residual water cooking rice positioning pot jaba tilt backwards spill hot water cook leg cook immediately event apply aid pour cold water area ​​the injury medical post evaluation;4;Cook;Prepare, Move;Pot, Residual water, Jaba, Cold water
Male;Employee;Liquid Metal;February;collaborator report work ustulación realize cyclone duct obstruct open door try unclog material detach project employee cause small burn right heel;1;Collaborator;Try unclog material, Detach project;Cyclone duct
