iter	MultiClass
0	1.580835541
1	1.552675749
2	1.531144415
3	1.510133015
4	1.490890973
5	1.472648895
6	1.453362943
7	1.43951387
8	1.426392278
9	1.412809752
10	1.402727245
11	1.391990738
12	1.382768011
13	1.370814928
14	1.362051005
15	1.352650299
16	1.34521821
17	1.336710036
18	1.326949924
19	1.321216445
20	1.314139678
21	1.307028514
22	1.300600461
23	1.294609181
24	1.287516792
25	1.280959603
26	1.275703189
27	1.271425275
28	1.263699895
29	1.25806289
30	1.253082049
31	1.242566031
32	1.238493168
33	1.234676652
34	1.228984607
35	1.223941049
36	1.217197046
37	1.210858909
38	1.206661661
39	1.202451754
40	1.195174611
41	1.190286356
42	1.185541143
43	1.177288996
44	1.172610713
45	1.16929352
46	1.165204653
47	1.162650975
48	1.158375758
49	1.152144955
50	1.146289632
51	1.143818826
52	1.135559547
53	1.132549702
54	1.126810365
55	1.124336066
56	1.119708469
57	1.110221905
58	1.105146147
59	1.100121809
60	1.093269881
61	1.085198793
62	1.082342398
63	1.076360338
64	1.067955811
65	1.060778018
66	1.056217233
67	1.053771418
68	1.046795849
69	1.039657526
70	1.032371669
71	1.025834509
72	1.018109513
73	1.013682574
74	1.009487155
75	1.006941276
76	1.002479129
77	0.9952690136
78	0.9890166056
79	0.9830142215
80	0.9743070211
81	0.9646592474
82	0.9584084904
83	0.9542725285
84	0.9488312894
85	0.944752435
86	0.9405996933
87	0.9358692958
88	0.9281949266
89	0.9197822281
90	0.9148609068
91	0.9110586797
92	0.9055626826
93	0.9015160542
94	0.8936727609
95	0.8873842233
96	0.8817096671
97	0.8746998061
98	0.8714595775
99	0.8662794665
100	0.8630491928
101	0.8586816474
102	0.853851668
103	0.8502057988
104	0.844978245
105	0.8426125189
106	0.8383426416
107	0.8364704701
108	0.8308940379
109	0.8251884773
110	0.8216605706
111	0.8157288742
112	0.8132081084
113	0.8078337699
114	0.8021042576
115	0.797073677
116	0.7932752547
117	0.7902657171
118	0.783396794
119	0.7806639564
120	0.7775274073
121	0.776260134
122	0.7715419927
123	0.768353284
124	0.7646483574
125	0.7617857408
126	0.7584578628
127	0.7564129681
128	0.7537856564
129	0.7508832292
130	0.7475538587
131	0.7403857176
132	0.736812508
133	0.7334738481
134	0.7303070187
135	0.7283498604
136	0.72371273
137	0.7199644486
138	0.7156111093
139	0.7109216466
140	0.7089274533
141	0.7047879368
142	0.6975699956
143	0.6941226117
144	0.6904855198
145	0.6893037746
146	0.6881066792
147	0.6851110202
148	0.6837128758
149	0.6808296362
150	0.6788264873
151	0.6756122194
152	0.6730898468
153	0.6688102976
154	0.6665005118
155	0.6642656864
156	0.6606778727
157	0.6566888054
158	0.6530162202
159	0.6511047785
160	0.6458922881
161	0.641693601
162	0.6368538494
163	0.63436272
164	0.6309157329
165	0.6270621412
166	0.6240454213
167	0.6206338988
168	0.6197544868
169	0.6186516691
170	0.614736164
171	0.6119311747
172	0.609169741
173	0.6070484312
174	0.6045788537
175	0.6018077522
176	0.5993532916
177	0.5948947426
178	0.591895943
179	0.5883125346
180	0.585725397
181	0.5833140393
182	0.5817037606
183	0.5783616404
184	0.5761591928
185	0.5737008896
186	0.5721234145
187	0.5678582816
188	0.5629644682
189	0.5608228439
190	0.5569097795
191	0.5559278053
192	0.5533061858
193	0.548341002
194	0.5454834559
195	0.5430633621
196	0.5408722627
197	0.5388441821
198	0.5362450857
199	0.5329199232
200	0.5296518584
201	0.5269139743
202	0.5250098519
203	0.5237744006
204	0.5203444737
205	0.5182741524
206	0.5151378887
207	0.5128364091
208	0.5109650497
209	0.5094355993
210	0.5067117485
211	0.503919877
212	0.5026762137
213	0.4995614193
214	0.4987619849
215	0.4977414956
216	0.4958715122
217	0.4937377675
218	0.4914731654
219	0.4897972867
220	0.488774014
221	0.4860762577
222	0.483627436
223	0.4819880542
224	0.480696362
225	0.4784066416
226	0.4747428556
227	0.4734831757
228	0.4704783615
229	0.4688350127
230	0.4665870522
231	0.4642132385
232	0.4616864931
233	0.4595435636
234	0.4577852041
235	0.4562162142
236	0.454811585
237	0.4525610355
238	0.4516474872
239	0.4486838993
240	0.4470063335
241	0.4451512693
242	0.4431014599
243	0.4413269125
244	0.4383380174
245	0.4362456972
246	0.433980119
247	0.4323839755
248	0.4311578061
249	0.4295167312
250	0.427954633
251	0.4255944172
252	0.423717824
253	0.4202923589
254	0.4192943473
255	0.4173088126
256	0.4158186585
257	0.4143494158
258	0.4122047053
259	0.4100811312
260	0.4083831641
261	0.4069428027
262	0.4052361706
263	0.4038498239
264	0.4027983984
265	0.4014345731
266	0.3999335695
267	0.3985660824
268	0.3967066228
269	0.395459822
270	0.394903212
271	0.3938821161
272	0.3923579651
273	0.3907301688
274	0.3892337275
275	0.3868768624
276	0.3847888344
277	0.3836787228
278	0.3825511776
279	0.3803394744
280	0.3785451829
281	0.3769548886
282	0.3764008593
283	0.3753545819
284	0.3728437589
285	0.3716478599
286	0.3708454133
287	0.369330883
288	0.3675934302
289	0.3659501646
290	0.3633723423
291	0.3618775856
292	0.3605219638
293	0.3588035799
294	0.3580955348
295	0.3565670831
296	0.3549794675
297	0.3538812936
298	0.3527579104
299	0.3514616036
