iter	Passed	Remaining
0	44	13309
1	86	12843
2	127	12629
3	169	12552
4	210	12443
5	374	18336
6	454	19036
7	496	18106
8	536	17361
9	576	16711
10	632	16626
11	678	16273
12	721	15931
13	769	15721
14	819	15575
15	899	15973
16	953	15865
17	1000	15674
18	1042	15413
19	1081	15140
20	1144	15203
21	1187	15008
22	1230	14817
23	1269	14594
24	1307	14381
25	1360	14338
26	1399	14152
27	1437	13967
28	1476	13795
29	1513	13625
30	1568	13606
31	1606	13457
32	1645	13312
33	1684	13174
34	1722	13039
35	1775	13021
36	1814	12894
37	1852	12771
38	1890	12652
39	1929	12539
40	1982	12523
41	2020	12413
42	2059	12307
43	2103	12238
44	2145	12157
45	2211	12210
46	2253	12131
47	2298	12066
48	2339	11984
49	2378	11892
50	2432	11876
51	2470	11782
52	2508	11692
53	2548	11607
54	2586	11523
55	2640	11505
56	2679	11424
57	2717	11339
58	2755	11257
59	2794	11178
60	2848	11159
61	2887	11082
62	2925	11006
63	2964	10929
64	3003	10858
65	3057	10839
66	3101	10785
67	3144	10727
68	3185	10664
69	3228	10608
70	3288	10605
71	3330	10546
72	3372	10487
73	3410	10417
74	3449	10349
75	3506	10333
76	3547	10273
77	3585	10205
78	3623	10136
79	3662	10071
80	3716	10047
81	3754	9981
82	3792	9915
83	3830	9851
84	3870	9789
85	3924	9764
86	3962	9700
87	4000	9637
88	4039	9575
89	4078	9516
90	4142	9513
91	4190	9475
92	4232	9420
93	4274	9366
94	4318	9319
95	4372	9292
96	4411	9232
97	4449	9171
98	4488	9112
99	4526	9053
100	4580	9024
101	4618	8966
102	4657	8907
103	4695	8850
104	4735	8794
105	4788	8763
106	4826	8705
107	4864	8648
108	4903	8591
109	4941	8535
110	4995	8505
111	5034	8450
112	5073	8396
113	5118	8350
114	5161	8303
115	5222	8283
116	5263	8232
117	5305	8182
118	5347	8134
119	5387	8081
120	5441	8050
121	5480	7995
122	5518	7941
123	5558	7888
124	5596	7835
125	5650	7803
126	5688	7749
127	5727	7696
128	5766	7643
129	5804	7590
130	5858	7558
131	5901	7510
132	5944	7463
133	5983	7412
134	6022	7361
135	6077	7328
136	6121	7282
137	6165	7237
138	6212	7195
139	6256	7150
140	6319	7126
141	6360	7076
142	6399	7025
143	6436	6973
144	6475	6921
145	6528	6886
146	6567	6835
147	6606	6784
148	6644	6733
149	6682	6682
150	6736	6647
151	6774	6596
152	6812	6545
153	6850	6494
154	6889	6444
155	6941	6407
156	6980	6358
157	7018	6307
158	7057	6258
159	7102	6214
160	7161	6183
161	7205	6137
162	7246	6090
163	7289	6044
164	7328	5996
165	7381	5958
166	7419	5909
167	7458	5859
168	7496	5811
169	7535	5762
170	7588	5724
171	7626	5675
172	7664	5626
173	7703	5578
174	7741	5529
175	7795	5492
176	7834	5444
177	7872	5395
178	7910	5347
179	7949	5299
180	8002	5261
181	8040	5213
182	8082	5167
183	8126	5123
184	8168	5077
185	8228	5043
186	8270	4997
187	8311	4951
188	8353	4906
189	8391	4858
190	8445	4819
191	8484	4772
192	8524	4726
193	8564	4679
194	8602	4632
195	8657	4593
196	8701	4549
197	8789	4528
198	8877	4505
199	8928	4464
200	8982	4424
201	9021	4376
202	9060	4329
203	9124	4293
204	9226	4275
205	9337	4260
206	9380	4214
207	9421	4167
208	9459	4118
209	9498	4070
210	9553	4029
211	9593	3982
212	9631	3934
213	9670	3886
214	9709	3838
215	9763	3796
216	9801	3749
217	9840	3701
218	9879	3653
219	9917	3606
220	9971	3564
221	10010	3517
222	10048	3469
223	10101	3427
224	10217	3405
225	10292	3370
226	10335	3323
227	10376	3276
228	10416	3229
229	10456	3182
230	10511	3139
231	10551	3092
232	10592	3045
233	10631	2998
234	10671	2951
235	10727	2909
236	10766	2862
237	10806	2815
238	10845	2768
239	10883	2720
240	10938	2677
241	10977	2631
242	11016	2584
243	11055	2537
244	11101	2492
245	11170	2451
246	11213	2406
247	11252	2359
248	11291	2312
249	11330	2266
250	11383	2222
251	11422	2175
252	11460	2129
253	11498	2082
254	11537	2035
255	11591	1992
256	11628	1945
257	11667	1899
258	11705	1853
259	11744	1806
260	11797	1762
261	11836	1716
262	11874	1670
263	11912	1624
264	11951	1578
265	12005	1534
266	12044	1488
267	12088	1443
268	12133	1398
269	12175	1352
270	12237	1309
271	12279	1264
272	12320	1218
273	12358	1172
274	12397	1127
275	12451	1082
276	12490	1037
277	12528	991
278	12567	945
279	12605	900
280	12659	855
281	12698	810
282	12736	765
283	12774	719
284	12812	674
285	12865	629
286	12904	584
287	12943	539
288	12982	494
289	13020	448
290	13079	404
291	13121	359
292	13164	314
293	13209	269
294	13253	224
295	13311	179
296	13349	134
297	13388	89
298	13426	44
299	13466	0
