iter	Passed	Remaining
0	1	161
1	3	163
2	5	161
3	6	159
4	8	161
5	10	164
6	12	166
7	14	164
8	16	163
9	18	162
10	19	159
11	21	156
12	23	154
13	24	152
14	26	149
15	28	147
16	29	146
17	31	143
18	33	141
19	34	139
20	36	137
21	38	135
22	39	133
23	41	131
24	43	129
25	44	127
26	46	126
27	48	123
28	49	121
29	51	120
30	53	118
31	55	117
32	57	116
33	59	115
34	61	113
35	62	111
36	64	109
37	66	107
38	67	106
39	69	104
40	71	102
41	73	101
42	85	113
43	87	111
44	89	109
45	91	107
46	93	105
47	95	103
48	97	100
49	98	98
50	100	96
51	102	94
52	104	92
53	106	90
54	108	88
55	110	86
56	112	84
57	114	83
58	116	81
59	118	78
60	120	76
61	122	75
62	124	73
63	126	71
64	128	68
65	129	66
66	131	64
67	133	62
68	135	60
69	137	58
70	139	56
71	141	54
72	143	52
73	144	50
74	146	48
75	148	46
76	150	44
77	151	42
78	153	40
79	155	38
80	157	36
81	159	34
82	160	32
83	162	30
84	164	28
85	166	27
86	167	25
87	169	23
88	171	21
89	172	19
90	174	17
91	176	15
92	178	13
93	180	11
94	181	9
95	183	7
96	185	5
97	187	3
98	189	1
99	191	0
