text_review,rating_review
"Мой первый займ с сервисом Всегда.-Да Еще год назад я ни разу не брала никаких займов или кредитов. Не было такой необходимости. Но в этом году произошла ситуация, когда мне срочно нужны были деньги. Небольшие суммы я могла спокойно перехватить у родных или друзей. Но здесь речь шла совсем о другой сумме. Для себя решила, что самое разумное будет оформить займ и платить его потихоньку посильными платежами. Так я и сделала. Про сервис Всегда.-Да знала уже давно, так как сама являюсь партнером Хоум Банка. Почитала про него поподробнее в интернете, взвесила все за и против и решила оформлять. Очень порадовало, что все делается максимально быстро, с минимумом бумажек, анкет и т.д. После одобрения деньги на карту мне пришли буквально через 10 минут. При оформлении у меня не интересовались целью займа, что тоже очень на руку многим клиентам. Во Всегда.-Да не навязывают никаких платных услуг. Единственное, что мне предложили, это СМС-оповещения, но я отказалась, хотя ежемесячная плата там небольшая. А так платишь только сумму своего платежа и все. Я стараюсь также вносить деньги сверху, чтобы сократить основной долг и побыстрее рассчитаться. Проценты тут за это не взимаются, как, например, в других банках и МФО. Буду стараться все погасить за ближайшие три месяца. И потом можно будет думать о покупке нового телевизора в рассрочку. Я давно хочу. С таким сервисом это делать не только удобно, но и выгодно. Не надо ни на что копить, покупаешь тогда, когда хочешь. Всем очень рекомендую.",5
"В последнее время моя старая стиральная машина начала часто ломаться, и я поняла, что пришло время приобрести новую. Однако, так как я не планировала больших трат в ближайшее время, я решила поискать варианты на вторичном рынке и в интернете. Просмотрев множество объявлений и предложений, я пришла к выводу, что покупка б/у стиральной машины не является оптимальным вариантом из-за риска приобрести некачественный товар и необходимости дополнительных затрат на ремонт. Поэтому я решила обратить внимание на новые модели в магазинах бытовой техники. Мой выбор пал на магазин “Ситилинк”, так как мне было удобно расположение магазина и меня привлекали доступные цены на некоторые модели стиральных машин. Я решила отправиться в “Ситилинк” и выбрать подходящую модель. Однако, когда я оказалась в магазине, меня ждало разочарование - цены на большинство стиральных машин были значительно выше, чем я планировала потратить. Я уже собиралась уходить, но ко мне подошла продавец-консультант и предложила мне воспользоваться сервисом “Всегда да”. Я была приятно удивлена таким предложением и решила узнать больше о данном сервисе. Как оказалось, “Всегда да” - это сервис, который предлагает покупку товаров в рассрочку или кредит на выгодных условиях. Так как меня интересовала возможность приобретения новой стиральной машины без больших затрат, я решила воспользоваться этим предложением. Продавец подробно объяснила условия предоставления рассрочки и ответила на все мои вопросы. После некоторых раздумий я приняла решение приобрести стиральную машину именно через сервис “Всегда да”, так как это позволяло мне сэкономить значительную часть моего бюджета. Теперь я являюсь обладательницей новой стиральной машины. И при этом практически не ощутила переплаты. Я плачу всего 4000 рублей каждый месяц, что не является для меня обременительным. В целом, я очень довольна своим выбором и возможностью воспользоваться сервисом “Всегда да”. Рекомендую этот сервис всем, кто хочет приобрести новые товары без значительных переплат и ущерба для бюджета.",5
"Совсем недавно я столкнулся с необходимостью приобрести новый телевизор для своей гостиной, но, к сожалению, не обладал достаточной суммой для единовременной оплаты. Именно тогда я узнал о сервисе рассрочек Всегда. Да! Это было просто спасение для меня. Сначала я был немного скептичен 🧐, потому что всегда предпочитал копить деньги и полностью оплачивать свои покупки. Однако, после тщательного изучения всех условий Всегда.Да, я решил все-таки попробовать взять новый телевизор в рассрочку. Первое, что понравилось – это простота использования сервиса. Все, что потребовалось – это выбрать товар в магазине-партнере, оформить заказ, и тут же получить одобрение рассрочки. Нет сложных документов и ожидания решения банка. Второе, на что я обратил внимание – это процентная ставка. Она оказалась ниже, чем я ожидал, и была вполне конкурентоспособной по сравнению с другими предложениями на рынке. Именно это и стало приятным бонусом. Третье, что я оценил, это гибкость условий. Всегда.Да позволяет разбивать платеж на несколько частей, что очень удобно для людей с неравномерным доходом или непредвиденными расходами. Кроме того, этот сервис предлагает возможность досрочного погашения без каких-либо штрафов. После оформления рассрочки, я начал вносить ежемесячные платежи 🤑, которые не создавали стресса для моего бюджета. Это позволило мне спокойно наслаждаться своим новым телевизором, не беспокоясь о том, что у меня не будет денег на оплату. В целом, я очень доволен своим опытом использования Всегда.Да. Сервис рассрочек оказался простым, доступным и комфортным решением для покупки товаров и услуг, позволяя мне наслаждаться всеми преимуществами новых технологий без финансового давления. Рекомендую всем, кто хочет приобрести желаемое, не откладывая на потом.",5
"Мы с мужем всегда испытывали трудности с накоплением денег. Нам гораздо удобнее брать рассрочку через «Всегда.Да», который предлагает несколько банков-партнёров. Это позволяет нам выбирать наиболее подходящие условия и оформлять рассрочку без лишних хлопот. Одним из преимуществ сервиса является комфорт 😉. Простота использования и процесс оформления рассрочки занимает всего несколько минут, и нам не приходится сталкиваться с длительными процедурами и сложными документами. Ещё одним плюсом является гибкая система платежей. Мы можем разбить сумму рассрочки на несколько частей, что делает её более доступной для нас. Кроме того, сервис «Всегда.Да» предлагает возможность досрочного погашения без штрафных санкций, что позволяет нам сэкономить на процентах. В целом, мы очень довольны сервисом «Всегда.Да» и рекомендуем его всем, кто хочет приобрести товары или услуги, не откладывая на потом. Этот сервис стал для нас настоящим спасением и помог преодолеть нашу проблему с накоплением средств.",5
"Решил поделиться своим положительным опытом использования сервиса рассрочки «Всегда.Да». Давно хотел обновить свой телефон, но всё время жалел деньги. Однако знакомый рассказал, что часто пользуется рассрочками и всегда в плюсе остаётся. Я тоже решил попробовать и не пожалел. Оформление заняло всего 2 минуты: заполнил анкету, выбрал подходящее предложение 😉, подписал документы — и уже уходил из магазина с новым смартфоном. Даже не верится, что раньше я не знал об этом сервисе! Я очень доволен сервисом рассрочки «Всегда.Да». Процесс оформления был простым и быстрым, а сами условия рассрочки оказались выгодными. Теперь я могу позволить себе покупать новые вещи без лишних накоплений. Хочу отметить вежливость и профессионализм сотрудников компании. Они помогли мне выбрать подходящий вариант рассрочки, учитывая мои финансовые возможности. Также они были готовы ответить на все мои вопросы и объяснить условия договора. В целом, я очень рад, что обратился в «Всегда.Да». Этот сервис действительно помогает сделать покупки более доступными и удобными 😎. Рекомендую его всем, кто хочет приобрести что-то дорогое, и не имеет достаточно средств для единовременной оплаты!",5
"Хотела бы поделиться своим положительным опытом использования сервиса займов «Всегда.Да». Этот сервис стал настоящим спасением для нашей семьи, и мы уже дважды обращались к ним за помощью за последний год. Оформление займа происходит очень быстро и весьма просто, процесс занимает всего-то несколько минут моего времени. Вносить платежи можно различными способами, что оказалось очень удобно для нас. Мы используем разные методы оплаты, бывает такие как банковские переводы, электронные кошельки и мобильные платежи 😉. Никаких дополнительных платных услуг нам не навязывали, что также является большим плюсом. Сервис «Всегда.Да» предоставляет своим клиентам индивидуальный подход и внимательное отношение ко всем. Сотрудники всегда готовы помочь и ответить на возникающие вопросы. Они объясняют условия займа и предлагают оптимальные варианты погашения долга. Я очень довольна работой сервиса «Всегда.Да» и рекомендую его всем своим знакомым. Благодаря этому сервису мы смогли решить финансовые проблемы и избежать неприятных ситуаций.",5
"Как современная женщина, я предпочитаю не откладывать на завтра то, что можно приобрести сегодня. Особенно, если речь идет о дорогих и качественных вещах, которые со временем только дорожают. Именно поэтому я часто пользуюсь сервисом “Всегда Да”. Это настоящий спасение для тех, кто хочет купить что-то стоящее, но не имеет возможности откладывать на это деньги. Благодаря рассрочке, я могу позволить себе дорогие покупки, не переплачивая при этом большие проценты. Оформление рассрочки занимает всего несколько минут, и я сразу же становлюсь счастливой обладательницей заветной вещи. К тому же, проценты от банков вполне приемлемые, и переплата в итоге оказывается весьма разумной. Для меня это не просто способ покупать все, что мне нравится, без ограничений, но и возможность не откладывать на долгие годы приобретение дорогих вещей. Ведь с каждым годом они только дорожают, и порой цены становятся просто непосильными. Сервис “Всегда Да” дает мне возможность наслаждаться жизнью здесь и сейчас, не откладывая на потом свои мечты и желания. Это отличный способ быть модной, стильной и уверенной в себе женщиной, которая может позволить себе все, что захочет.",5
"Мне неоднократно приходилось пользоваться услугами микрофинансовых организаций. Ситуации бывали разные, поэтому я и кредиты брал, и небольшие займы. С сервисом Всегда.-Да столкнулся впервые. Искал для себя более выгодную МФО и по всем оценкам пришел к тому, что это самый выгодный и удобный в настоящее время вариант. Очень порадовала простота процедуры оформления займа. Никаких сложностей, все предельно просто и понятно даже для тех, кто никогда подобными сервисами не пользовался. У них, кстати, есть классное мобильное приложение. Я сразу же его скачал для внесения платежей и вообще контроля своего долга. После первого месяца пользования займом обнаружил, что у меня подключено СМС-оповещение. Мне эта услуга была не нужна, поэтому я хотел ее как можно быстрее отключить. Хоть и плата за нее небольшая, но какой смысл переплачивать. Сам разобраться не захотел, поэтому решил воспользоваться услугами технической поддержки. Вообще стараюсь как можно реже прибегать к их помощи, так как ничего толкового обычно не выходит. Но в этом случае был приятно удивлен результатом. Во-первых, мне удалось довольно быстро дозвониться до оператора, и меня не стали перекидывать с одного специалиста на другого. А во-вторых, мне сразу же помогли решить мою проблему. Все четко объяснили, попросили подтверждения отключения услуги и все. Очень порадовало качество такого обслуживания и компетентность специалистов. Еще одно существенное преимущество этого сервиса ко всем остальным.",5
"Всегда.Да — это действительно классный сервис, который облегчает процесс получения займов и рассрочек. Оформление занимает всего несколько минут, требуется минимум документов, и вся процедура проходит без проблем 😉. Недавно я воспользовалась сервисом Всегда.Да, чтобы купить себе новую классную кровать в магазине «Шатура». Я выбрала оптимальный срок оплаты и вот теперь могу спокойно выплачивать долг без переживаний. Сотрудники Всегда.Да весьма вежливые и профессиональные, они всегда готовы помочь и ответить на все вопросы. Их работа впечатляет своей эффективностью и оперативностью, что несомненно радует. Я довольна сервисом Всегда.Да и рекомендую его всем, кто ищет для себя удобный и надёжный способ получить займ или рассрочку.",5
"В какой-то момент я понял, что старый холодильник, к сожалению, перестал справляться со своими задачами 😔, да и внешний вид его оставлял желать лучшего! В поисках подходящего варианта, я наткнулся на сервис Всегда Да, который предлагает оформление рассрочки на бытовую технику. Хотя раньше я никогда не пользовался рассрочкой. Вот это и вызывало у меня некоторое опасение! Однако, когда я обратился в ближайший магазин, где можно было оформить данную услугу, сотрудники сервиса оказались очень профессиональными и дружелюбными, что помогло мне преодолеть свой страх. Процесс оформления рассрочки оказался простым и быстрым 😎. Сотрудники магазина внимательно выслушали мои предпочтения по выбору холодильника, и предложили несколько вариантов, соответствующих моим запросам. После этого мне объяснили условия предоставления рассрочки, которые оказались адекватными и выгодными. В общем я оформил рассрочку на новый холодильник, и уже через пару дней он был доставлен мне домой. И теперь я могу наслаждаться своей новой покупкой, которая отлично справляется со своими функциями и радует глаз своим внешним видом. Сервис Всегда Да оставил у меня положительные впечатления. Благодаря их работе, мне удалось приобрести новый холодильник без переплат, и я очень доволен результатом.",5
"Недавно я приобрёл планшет в рассрочку от сервиса «Всегда. Да». Хочется поделиться своими впечатлениями и рассказать о преимуществах такого решения. Раньше я долго думал о покупке планшета, но не мог позволить себе заплатить всю сумму сразу. Узнав о рассрочке на срок до 12 месяцев, я решил воспользоваться этим предложением. Сервис «Всегда. Да» оказался очень удобным и простым в использовании. Оформление рассрочки заняло всего несколько минут, и уже совсем скоро я наконец-то получил свой планшет. Модель, которую я выбрал, оказалась качественной и функциональной. У него действительно хороший экран, производительный процессор и достаточно памяти для хранения моих файлов и фотографий. Это позволило мне работать с различными приложениями и смотреть фильмы в высоком качестве 😎. Дизайн планшета также порадовал меня. Он стильный им современный, при этом удобно лежит в руке! Работать на таком планшете одно удовольствие! Я рад, что решился на покупку планшета через сервис «Всегда. Да». Это как раз позволило мне сделать приятное себе и обеспечить уже всем необходимым для комфортного использования новенького планшета.",5
"Я вот хотела бы поделиться своим положительным опытом использования - сервиса «Всегда.Да». Сам сервис предлагает услуги рассрочки, и я решила воспользоваться им для покупки новенького телефона. Оформление рассрочки было максимально простым и понятным, менеджер подробно объяснил все условия и ответил на мои вопросы. Сумма ежемесячных платежей была комфортной для меня, и я смогла быстро оформить необходимые документы. Этот сервис «Всегда.Да» также предоставляет возможность подключения услуги СМС-информирования 📲, которая позволяет быть в курсе всех изменений по рассрочке. Однако сотрудник кредитного отдела предупредил меня, что отказаться от этой услуги можно только на следующий день после обращения в банк. После оформления рассрочки я обнаружила, что стоимость товара уже включает в себя услуги СМС-информирования, о чём мне не сообщили сразу. Это стало сюрпризом, но я решила разобраться в ситуации. Я обратилась в банк с заявлением на возврат средств за услугу СМС-информирования 🧐, и мне пообещали вернуть деньги в течение месяца. Несмотря на ожидание, я осталась довольна сервисом «Всегда.Да», потому что он помог мне приобрести нужный товар без лишних переплат. В общем-то я рекомендую сервис «Всегда.Да» всем, кто ищет удобный и выгодный способ оформления рассрочки. Он предлагает качественные услуги и индивидуальный подход к каждому клиенту.",5
"Когда настал тот самый день, я поняла, что моему мужу на день рождения хочу подарить что-то особенное, и конечно же, это должен быть именно новый смартфон. Но когда я начала искать подходящий вариант, то столкнулась с проблемой – цены оказались намного выше, чем мне хотелось бы. Вот так, в поисках идеального подарка, я обратилась за советом к своим друзьям. Они-то и рассказали мне про сервис “Всегда да”. Я была приятно удивлена, когда узнала, что через этот сервис можно оформить кредит на покупку смартфона или любого другого товара 📲, причем без переплаты и скрытых комиссий. Предложения от банков поступают быстро, и главное – прозрачно и понятно! Оформление кредита также прошло без особых проблем. Я воспользовалась мобильным приложением, где все интуитивно понятно и удобно! А главное – платежи можно вносить прямо через это же приложение, что, безусловно, является прям большим плюсом. В итоге, благодаря сервису “Всегда да”, я смогла подарить своему мужу на день рождения именно то, что хотела – новый, современный и мощный смартфон. И мне не пришлось беспокоиться о том, что в данный момент у меня не хватает средств на его покупку. Это был действительно отличный и продуманный подарок, который порадовал моего мужа и сделал его день рождения особенным. Так что сервисом я довольна.",5
"Мой муж всегда был очень осторожен в отношении кредитов и займов, предпочитая избегать абсолютно любых финансовых обязательств, которые могли бы привести к дополнительным расходам. Однако, когда нам пришлось купить новый холодильник, мы столкнулись с необходимостью выбора между покупкой в кредит и накоплением нужной суммы 🤔. Мы решили попробовать оформить рассрочку через сервис Всегда.Да. И это оказалось настоящим спасением. Процесс оформления был максимально простым и удобным, а условия рассрочки – выгодными. Мы смогли выбрать холодильник, который идеально соответствовал нашим требованиям, и начать пользоваться им сразу же, не откладывая покупку на неопределенный срок. После успешного опыта с холодильником, мы поняли, что сервис Всегда.Да открывает новые возможности для приобретения дорогих вещей без необходимости единовременной оплаты полной стоимости. Это значительно упрощает жизнь и позволяет наслаждаться покупками здесь и сейчас, не дожидаясь накопления нужной суммы. Мы уверены, что в будущем будем использовать сервис Всегда.Да неоднократно, ведь он предоставляет удобный и безопасный способ покупки дорогих вещей. Мы рекомендуем его всем, кто хочет упростить процесс приобретения желаемых товаров и при этом не откладывать свои мечты на потом.",5
"Недавно оформил очередную рассрочку в «Всегда Да» и остался очень доволен простотой и скоростью процесса оформления. Анкеты для одобрения от банков здесь самые простые, их заполнение и отправка занимают всего несколько минут. Уже через пару минут я получил предложения 😎, а договоры можно подписать в электронном виде. Отдельно хочу отметить индивидуальный подход сотрудников компании к каждому клиенту. Они всегда готовы помочь и ответить на возникающие вопросы, подробно разъясняют все условия рассрочки и помогают выбрать оптимальный вариант. Пользуюсь мобильным приложением «Всегда Да», оно удобно для контроля платежей, просмотра истории операций и получения уведомлений о предстоящих платежах. Это помогает мне быть в курсе своих финансовых дел и своевременно вносить платежи. В целом, я очень доволен сервисом «Всегда Да» и рекомендую его всем своим знакомым. Он действительно упрощает жизнь и при этом помогает сэкономить время⏳.",5
"Давно хотела купить себе хорошую натуральную шубу, но цены на них сейчас заоблачные. Муж на это не соглашался, пока я не нашла классный вариант – оформить рассрочку через сервис Всегда.-Да. О нем знаю от своей подруги, она уже несколько раз пользовалась и всегда оставалась довольна. Вот и я решила попробовать. Нюансов процедуры оформления я не знала, но в «Снежной Королеве» мне объяснили, что оформляется все предельно просто и быстро. Когда я выбрала подходящую модель шубы, мы совместно с консультантом стали заполнять анкету. Как оказалось, делается все и правда быстро и просто. У нас ушло минут 5, не больше. Когда пришли предложения от банков, с мужем внимательно ознакомились со всеми. Мы выбирали по принципу самой низкой ставки и остановились на предложении Совкомбанка. Выбрали оптимальный период рассрочки в соответствии с подходящим ежемесячным платежом. Муж еще заранее продумал, как будем платить, и скачал официальное приложение сервиса. Оно, кстати, очень понятное и простое в использовании. Разобрались с ним быстро, ничего необычного. Порадовало, что все детально продумано и не приходится тратить время, чтобы разбираться с основными инструментами. Гасить рассрочку досрочно пока не получается, но у Всегда.-Да есть такая беспроцентная возможность. Это большое преимущество для большинства пользователей. Для себя мы поняли, что делать такие дорогие покупки с такими надежными сервисами – не так уж и страшно. А главное, что не приходится долго ждать желаемую вещь.",5
"Я долго думала, прежде чем решиться на покупку ноутбука для дочери. Но она так сильно хотела обновить свой старый компьютер, что я ей не смогла отказать. Сначала я рассматривала возможность взять кредит в банке, но потом узнала о сервисе «Всегда.Да». Здесь можно оформить рассрочку без процентов на срок до 36 месяцев. Это было идеальным решением для меня, так как я могла выплачивать сумму частями без дополнительных затрат. Ноутбук, который выбрала дочь, качественный и современный. У него был хороший процессор, достаточное количество оперативной памяти и быстрый жёсткий диск. Это позволило ей работать с большим количеством программ и запускать игры на высоких настройках. Кроме того, дизайн ноутбука был очень стильным и ярким. Он сразу же привлёк внимание дочери и её друзей. Они были просто в восторге от нового компьютера и с большим удовольствием проводили свое время за играми и учёбой. Я рада, что решилась на покупку ноутбука через сервис «Всегда.Да». Это позволило мне сделать приятное дочери и обеспечить её всем необходимым для комфортной учёбы и отдыха. Я уверена, что благодаря рассрочке я смогу выплатить всю сумму без проблем. И сохранить семейный бюджет 😉.",5
"У конторы чрезмерно плохая проверка личности клиента На днях проверила свою кредитную историю в БКИ и моему удивлению не было предела. Оказалось что с января этого года на мне висит кредит в размере 60 тысяч рублей в этой микрофинансовой организации, о котором я ни сном ни духом! Никаких уведомлений ни на номер телефона, ни на почту мне не приходило. За те месяцы которые я не подозревала о кредите, по нему уже пошла просрочка и кредитная история очень сильно испортилась!Я поспешила позвонить в эту организацию и выяснить в чем дело. В ходе разговора с оператором мне сказали, что да, действительно на мой паспорт взят кредит! На мой вопрос как такое могло произойти без моего согласия девушка оператор ответила что сейчас достаточно паспортных данных чтобы оформить на кого то кредит. Сказать что я была в шоке- ничего не сказать.Денег я никаких не получала, и смс мне не приходило так что оформили через номер телефона не принадлежащий мне, но через мои персональные данные которые непонятно как там оказались. Пришлось ехать сначало в РОВД по моему городу и подавать заявление. Так же в ООО 'купи не копи' отправлена досудебная претензия, и жалобы на эту контору в Роспотребнадзор и ЦБ рф. Рекомендую никому не связываться с этой конторой, потому что неизвестно чем это для вас может обернуться.",1
"Про Купи не копи узнала от своей сестры где-то полгода назад. За это время я уже успела дважды воспользоваться рассрочками от данного сервиса. Я очень часто и по многу заказываю всего на Вайлдбериз. Постоянно что-то нужно то детям, то нам с мужем. Плюс, делать покупки на маркетплейсах стало удобно, особенно в нашей загруженной жизни. Раньше приходилось себя в чем-то ущемлять, так как не всегда получалось покупать абсолютно все, что необходимо, сразу 😔. Зато теперь я стараюсь никому ни в чем не отказывать, так как есть возможность оформлять рассрочки через Купи не копи. Очень радует, что процесс оформления занимает буквально минуты две. Делается все предельно просто, разберется даже тот, кто крайне редко пользуется компьютером или интернетом. Там есть отличная возможность выбрать нужный период, чтобы платеж был комфортным. Я обычно выбираю именно минимальный и стараюсь закрыть пораньше! Один раз пару вещей все-таки приходилось сдавать уже после того, как рассрочка была оформлена. Думала, вот с этим будут проблемы 🤔. Но оказалось, что система сама все пересчитывает и минусует из долга сумму возвращенного товара. Работает все, как часы. Сейчас планирую наконец-то заказать себе классную кожаную куртку, которая уже давно лежит в корзине и ждет своего часа. Выберу срок побольше, чтобы не было накладно с оплатой. Будет возможность, так погасим все раньше времени. Хорошо, что тут это можно делать без процентов. Очень довольна этим сервисом и всем его рекомендую!",5
